ProdTaken,Age,CityTier,DurationOfPitch,Gender,NumberOfFollowups,ProductPitched,PreferredPropertyStar,NumberOfTrips,Passport,PitchSatisfactionScore,OwnCar,Designation,MonthlyIncome,TypeofContact_Company Invited,TypeofContact_Self Enquiry,TypeofContact_Unknown,Occupation_Large Business,Occupation_Salaried,Occupation_Small Business,MaritalStatus_Divorced,MaritalStatus_Married,MaritalStatus_Unmarried,TotalVisiting
0,0.5581395348837209,3,-0.16715113218124683,1,3.0,2,4.0,1.0,0,3,0,0,-0.33785273354087775,0,1,0,0,0,1,1,0,0,3.0
0,0.6046511627906977,1,-0.2918825299667802,0,4.0,1,3.0,4.0,0,4,1,1,0.3428256873515272,0,1,0,0,0,1,1,0,0,2.0
0,0.6511627906976744,3,-0.9155395188944471,0,3.0,4,5.0,4.0,0,2,0,4,2.0726596293156025,0,1,0,0,0,1,0,0,1,3.0
0,0.34883720930232565,1,-0.9155395188944471,1,3.0,0,3.0,5.0,0,3,1,2,-1.1986931904626483,0,1,0,0,0,1,0,0,1,5.0
0,0.6046511627906977,1,0.08231166338981993,1,3.0,2,3.0,3.0,1,3,1,0,-0.40944029752605615,0,1,0,0,1,0,1,0,0,3.0
0,0.2790697674418605,1,-0.04241973439571344,1,4.0,0,3.0,2.0,0,4,1,2,-1.2563609503395976,0,1,0,0,0,1,0,0,1,3.0
1,0.4883720930232558,3,-0.541345325537847,1,3.0,2,3.0,4.0,0,2,0,0,-1.2802234716679906,0,1,0,1,0,0,1,0,0,3.0
1,0.13953488372093026,1,-1.1650023144655137,1,3.0,0,3.0,3.0,1,3,1,2,-1.2390606223765128,0,1,0,0,0,1,1,0,0,5.0
0,0.5813953488372093,1,-0.9155395188944471,0,2.0,0,3.0,2.0,0,2,0,2,-1.1690638931465607,0,1,0,0,0,1,0,1,0,4.0
1,0.744186046511628,3,-0.7908081211089137,1,4.0,0,3.0,2.0,1,4,0,2,-1.1615074280592361,0,1,0,0,0,1,1,0,0,2.0
0,0.39534883720930236,3,-0.9155395188944471,0,3.0,0,3.0,2.0,0,2,1,2,-1.2945409844650262,0,1,0,0,0,1,1,0,0,3.0
0,0.34883720930232565,3,-1.1650023144655137,0,2.0,2,5.0,3.0,0,3,1,0,-0.6259926785812209,1,0,0,0,1,0,1,0,0,2.0
0,0.39534883720930236,1,-0.6660767233233803,1,3.0,0,3.0,2.0,0,4,0,2,-1.3070688081624324,0,1,0,0,1,0,0,1,0,3.0
0,0.2093023255813954,1,-0.9155395188944471,0,3.0,0,5.0,2.0,0,3,0,2,-1.2295156138451557,0,1,0,0,1,0,0,1,0,3.0
1,0.18604651162790697,1,1.9532826301728206,1,5.0,0,3.0,2.0,0,2,1,2,-1.2390606223765128,0,1,0,0,1,0,0,0,1,3.0
0,0.2093023255813954,3,-0.16715113218124683,1,3.0,1,3.0,2.0,0,2,1,1,0.040169375169745045,1,0,0,0,1,0,0,0,1,2.0
0,0.45633174702942136,1,-1.1650023144655137,0,3.0,2,3.0,2.0,0,3,1,0,-0.234050765762369,1,0,0,0,0,1,0,0,1,2.0
1,0.5348837209302326,1,0.3317744589608867,0,3.0,4,3.0,2.0,0,4,1,4,2.1915745272687603,0,1,0,1,0,0,1,0,0,2.0
0,0.37209302325581395,3,-0.2918825299667802,1,3.0,2,3.0,1.0,0,5,1,0,-0.7866669888590658,1,0,0,0,0,1,0,0,1,4.0
0,0.4418604651162791,1,1.2048942434596204,1,3.0,0,4.0,5.0,0,4,1,2,-1.0940958053065266,0,1,0,0,1,0,1,0,0,4.0
0,0.6511627906976744,3,-0.541345325537847,1,3.0,2,3.0,5.0,1,5,1,0,-0.5472463581975247,1,0,0,0,0,1,0,0,1,4.0
0,0.39534883720930236,1,-0.16715113218124683,1,2.0,0,3.0,2.0,0,5,1,2,-1.2438331266421914,0,1,0,0,1,0,1,0,0,3.0
1,0.6976744186046512,1,-1.1650023144655137,1,4.0,1,3.0,1.0,1,5,0,1,-0.6249984068592045,0,1,0,0,1,0,0,0,1,5.0
1,0.45633174702942136,1,-0.541345325537847,1,3.0,0,3.0,2.0,1,2,1,2,-1.010775835001555,0,1,0,1,0,0,0,0,1,2.0
0,0.6046511627906977,3,-1.1650023144655137,0,3.0,2,5.0,6.0,1,2,0,0,-0.6104820397177656,0,1,0,0,0,1,0,1,0,3.0
0,0.39534883720930236,1,0.20704306117535332,1,4.0,1,5.0,3.0,1,5,1,1,0.27044270598873565,1,0,0,0,0,1,1,0,0,4.0
0,0.45633174702942136,3,1.703819834601754,0,4.0,2,3.0,1.0,1,2,1,0,-0.234050765762369,0,1,0,0,0,1,1,0,0,2.0
0,0.34883720930232565,1,-1.1650023144655137,0,3.0,1,3.0,2.0,1,2,1,1,0.9811481328860349,1,0,0,0,1,0,0,0,1,3.0
0,0.39534883720930236,3,1.0801628456740868,1,3.0,1,5.0,2.0,0,4,1,1,0.10837641530006784,1,0,0,0,1,0,1,0,0,3.0
0,0.45633174702942136,1,1.703819834601754,0,3.0,0,5.0,4.0,1,4,1,2,-0.234050765762369,0,1,0,0,0,1,1,0,0,1.0
0,0.3023255813953488,1,-0.2918825299667802,1,3.0,2,3.0,4.0,0,3,1,0,-0.5188101869478565,0,1,0,0,1,0,0,1,0,2.0
0,0.4418604651162791,1,-1.1650023144655137,1,4.0,2,3.0,2.0,0,5,1,0,-0.5032995480844012,0,1,0,0,1,0,0,1,0,3.0
0,0.32558139534883723,1,-1.1650023144655137,1,3.0,2,3.0,2.0,1,4,1,0,-0.469693163880248,0,1,0,0,0,1,1,0,0,2.0
0,0.4651162790697675,1,2.452208221314954,0,3.0,2,3.0,2.0,0,3,1,0,-1.216590081458943,1,0,0,0,1,0,0,0,1,2.0
0,0.744186046511628,1,-0.2918825299667802,0,4.0,4,3.0,6.0,1,4,1,4,2.031496780024125,0,1,0,0,0,1,0,1,0,3.0
0,0.9534883720930233,3,1.9532826301728206,0,3.0,1,5.0,1.0,0,3,1,1,-0.17638300588541972,0,1,0,0,1,0,0,0,1,2.0
0,0.41860465116279066,1,-0.16715113218124683,0,3.0,1,3.0,2.0,0,4,1,1,0.31259982700222966,0,1,0,1,0,0,0,1,0,3.0
0,0.8604651162790699,1,-0.16715113218124683,0,3.0,3,3.0,3.0,1,3,0,3,1.2392610719214838,0,1,0,0,0,1,0,1,0,3.0
0,0.41860465116279066,1,0.20704306117535332,1,4.0,2,4.0,2.0,0,4,1,0,-0.40267924981634484,1,0,0,0,1,0,0,0,1,4.0
0,0.6279069767441862,1,-0.2918825299667802,1,3.0,1,5.0,3.0,0,3,1,1,0.23862601088421193,0,1,0,0,1,0,0,1,0,3.0
0,0.39534883720930236,1,-1.1650023144655137,1,3.0,0,5.0,5.0,0,2,0,2,-1.2587472024724369,1,0,0,0,0,1,1,0,0,4.0
1,0.45633174702942136,1,-0.04241973439571344,1,4.0,0,3.0,1.0,1,2,0,2,-1.0213151152549285,0,1,0,0,0,1,1,0,0,4.0
0,0.9534883720930233,3,-1.1650023144655137,0,4.0,2,3.0,1.0,0,5,1,0,-0.6067038071741034,1,0,0,0,1,0,0,0,1,3.0
0,0.2558139534883721,1,-0.9155395188944471,1,3.0,0,4.0,1.0,0,4,0,2,-1.1575303411711708,0,1,0,0,1,0,1,0,0,3.0
0,0.3023255813953488,1,-1.1650023144655137,1,3.0,0,4.0,2.0,0,3,0,2,-1.197698918740632,0,1,0,0,0,1,0,0,1,2.0
0,0.32558139534883723,1,-1.1650023144655137,1,3.0,2,4.0,2.0,0,3,0,0,-0.45815961190485816,0,1,0,0,1,0,1,0,0,3.0
0,0.41860465116279066,1,-0.41661392775231354,0,2.0,2,3.0,4.0,0,2,0,0,-1.090914135796074,0,1,0,0,1,0,1,0,0,2.0
0,0.3023255813953488,1,-0.2918825299667802,0,3.0,2,3.0,2.0,0,5,0,0,-0.234050765762369,0,1,0,0,1,0,0,0,1,4.0
0,0.39534883720930236,3,-0.2918825299667802,1,4.0,2,5.0,1.0,0,2,0,0,-0.234050765762369,0,1,0,0,0,1,0,0,1,3.0
0,0.6279069767441862,1,-0.41661392775231354,1,3.0,1,5.0,5.0,1,3,0,1,0.9387921575281376,0,1,0,0,1,0,1,0,0,2.0
0,0.4418604651162791,1,-0.2918825299667802,1,3.0,1,3.0,5.0,0,2,0,1,1.0221121278331091,0,1,0,0,0,1,0,0,1,1.0
0,0.6511627906976744,2,-0.541345325537847,1,0.0,2,4.0,1.0,1,5,0,0,-0.696585970844383,0,1,0,0,0,1,0,1,0,4.0
0,0.2790697674418605,1,-1.1650023144655137,1,4.0,2,3.0,2.0,1,2,1,0,-0.6757062646820393,0,1,0,0,1,0,1,0,0,3.0
0,0.39534883720930236,1,-1.1650023144655137,1,4.0,0,3.0,2.0,0,4,1,2,-1.12650906344426,0,1,0,0,0,1,0,0,1,1.0
0,0.8604651162790699,3,-1.1650023144655137,1,3.0,1,3.0,4.0,0,2,0,1,0.34103599825189773,0,1,0,0,1,0,1,0,0,4.0
0,0.4651162790697675,1,-0.41661392775231354,0,5.0,2,3.0,1.0,1,2,0,0,-0.6353388327681747,1,0,0,0,0,1,0,1,0,5.0
0,0.37209302325581395,1,-0.2918825299667802,1,3.0,2,4.0,2.0,0,5,0,0,-0.234050765762369,0,1,0,0,0,1,1,0,0,3.0
0,0.8837209302325583,1,-0.2918825299667802,1,5.0,1,3.0,5.0,0,2,0,1,-0.2513510937254538,0,1,0,0,1,0,0,0,1,2.0
0,0.11627906976744184,3,-0.9155395188944471,1,3.0,0,5.0,4.0,0,3,1,2,-1.233293846388818,0,1,0,1,0,0,0,1,0,4.0
0,0.7674418604651162,1,-0.04241973439571344,1,3.0,0,3.0,4.0,0,3,1,2,-1.2824108694564265,0,1,0,0,1,0,1,0,0,3.0
0,0.45633174702942136,1,-0.9155395188944471,1,4.0,2,3.0,2.0,0,4,1,0,-0.234050765762369,0,1,0,0,1,0,1,0,0,2.0
1,0.6511627906976744,3,-0.04241973439571344,1,4.0,1,3.0,2.0,0,5,0,1,0.2177463047218682,0,1,0,0,0,1,0,0,1,4.0
0,0.5116279069767442,1,-1.1650023144655137,1,4.0,3,4.0,2.0,0,2,1,3,0.9900965783841822,1,0,0,0,1,0,1,0,0,5.0
0,0.7674418604651162,3,1.454357039030687,1,3.0,2,3.0,1.0,1,5,1,0,-0.6130671461950081,0,1,0,0,0,1,0,0,1,4.0
0,0.2790697674418605,3,-0.6660767233233803,0,4.0,2,4.0,2.0,1,3,1,0,-0.6592013540965675,0,1,0,0,0,1,0,1,0,4.0
0,0.6511627906976744,1,-1.1650023144655137,1,4.0,1,5.0,3.0,1,2,1,1,0.4273387837229184,1,0,0,0,0,1,1,0,0,3.0
0,0.32558139534883723,3,-0.41661392775231354,1,0.0,2,3.0,2.0,0,5,1,0,-0.698773368632819,0,1,0,0,0,1,0,0,1,2.0
0,0.8372093023255814,1,-0.9155395188944471,0,3.0,1,3.0,1.0,0,4,1,1,0.9992438782267328,0,1,0,1,0,0,1,0,0,2.0
0,0.13953488372093026,3,-0.7908081211089137,0,0.0,2,3.0,1.0,0,4,1,0,-0.7009607664212549,0,1,0,0,1,0,1,0,0,2.0
0,0.45633174702942136,3,-0.6660767233233803,1,3.0,2,3.0,2.0,0,2,1,0,-0.234050765762369,1,0,0,0,0,1,1,0,0,2.0
0,0.9302325581395349,3,0.08231166338981993,1,3.0,3,3.0,1.0,0,3,1,3,1.06347383146899,0,1,0,0,0,1,0,0,1,3.0
0,0.6046511627906977,1,1.703819834601754,1,3.0,2,4.0,5.0,0,3,1,0,-1.2889730628217344,1,0,0,0,0,1,1,0,0,3.0
1,0.4418604651162791,2,-0.41661392775231354,1,3.0,0,5.0,5.0,1,2,1,2,-1.282808578145233,0,1,0,0,1,0,0,1,0,3.0
0,0.32558139534883723,1,-1.1650023144655137,1,3.0,0,5.0,2.0,0,2,0,2,-1.1072201920371425,0,1,0,0,1,0,0,0,1,5.0
1,0.04651162790697677,1,-0.41661392775231354,0,4.0,0,3.0,2.0,1,2,1,2,-1.1131858223692408,1,0,0,0,1,0,0,0,1,4.0
0,0.37209302325581395,1,-0.2918825299667802,0,3.0,2,3.0,2.0,0,3,1,0,-0.7387430918578769,0,1,0,0,1,0,0,0,1,2.0
0,0.4418604651162791,1,-0.9155395188944471,1,4.0,2,3.0,6.0,0,2,0,0,-0.6683486539391181,1,0,0,0,1,0,0,1,0,4.0
0,0.9534883720930233,2,-0.9155395188944471,0,4.0,4,3.0,1.0,0,2,1,4,2.0521776318420657,1,0,0,0,1,0,1,0,0,3.0
0,0.744186046511628,1,-1.1650023144655137,0,3.0,4,4.0,4.0,1,2,0,4,1.9185475124030658,1,0,0,0,1,0,1,0,0,5.0
1,0.16279069767441867,3,-0.541345325537847,1,4.0,2,3.0,2.0,1,3,1,0,-0.5528142798408163,0,1,0,0,0,1,0,0,1,2.0
0,0.16279069767441867,1,-0.2918825299667802,1,4.0,0,3.0,2.0,0,2,1,2,-1.120543433112162,0,1,0,0,0,1,1,0,0,5.0
0,0.09302325581395354,1,0.7059686523174868,0,3.0,0,3.0,2.0,0,2,1,2,-1.1241228113114208,0,1,0,0,0,1,0,0,1,3.0
0,0.7674418604651162,1,-1.1650023144655137,0,4.0,1,5.0,4.0,0,2,1,1,-0.20680772057912053,1,0,0,0,0,1,0,0,1,1.0
1,0.37209302325581395,1,-0.2918825299667802,1,5.0,2,3.0,2.0,1,5,1,0,-0.48719234618773605,1,0,0,0,1,0,0,0,1,4.0
0,0.8372093023255814,2,2.078014027958354,0,2.0,3,3.0,3.0,1,3,1,3,1.750714445726703,1,0,0,0,1,0,0,0,1,1.0
0,0.13953488372093026,1,1.0801628456740868,1,3.0,0,3.0,1.0,0,4,1,2,-1.1434116827185383,0,1,0,0,1,0,1,0,0,2.0
0,0.37209302325581395,1,-0.2918825299667802,0,4.0,2,4.0,7.0,0,3,0,0,-0.7991948125564721,0,1,0,0,1,0,0,1,0,3.0
0,0.4418604651162791,3,-0.7908081211089137,1,3.0,1,3.0,3.0,0,3,0,1,-0.21794356386570385,0,1,0,0,1,0,0,0,1,2.0
0,0.37209302325581395,1,-0.541345325537847,0,4.0,1,5.0,3.0,0,2,0,1,0.6178412456612543,0,1,0,0,0,1,0,0,1,2.0
0,0.41860465116279066,3,0.20704306117535332,0,3.0,1,3.0,1.0,0,5,0,1,0.24140997170585773,1,0,0,1,0,0,1,0,0,3.0
0,0.41860465116279066,1,-0.7908081211089137,0,3.0,0,3.0,6.0,0,2,1,2,-1.1312815677099386,0,1,0,0,1,0,0,1,0,2.0
0,0.5813953488372093,3,2.078014027958354,1,3.0,3,3.0,2.0,1,2,0,3,1.6773371926418952,1,0,0,0,1,0,1,0,0,3.0
0,0.2790697674418605,1,1.703819834601754,1,5.0,0,3.0,2.0,0,3,1,2,-1.1754272321674653,1,0,0,0,1,0,0,1,0,5.0
0,0.34883720930232565,3,1.5790884368162204,1,3.0,2,4.0,1.0,0,2,0,0,-0.47287483339070036,1,0,0,0,0,1,1,0,0,4.0
1,0.8837209302325583,1,0.5812372545319534,0,0.0,0,4.0,1.0,1,5,1,2,-0.7081195228197729,0,1,0,0,1,0,1,0,0,4.0
0,0.7674418604651162,1,-0.41661392775231354,1,3.0,4,3.0,1.0,0,5,1,4,2.189983692513534,0,1,0,0,1,0,0,0,1,2.0
1,0.3023255813953488,3,-0.41661392775231354,1,5.0,2,3.0,5.0,1,3,1,0,-0.46770462043621525,0,1,0,0,1,0,1,0,0,4.0
0,0.18604651162790697,1,-0.41661392775231354,0,4.0,0,4.0,2.0,0,3,1,2,-1.2241465465462673,0,1,0,0,1,0,1,0,0,2.0
1,0.9302325581395349,1,1.703819834601754,0,3.0,1,3.0,2.0,0,3,1,1,0.3555523653933367,0,1,0,0,0,1,1,0,0,3.0
1,0.023255813953488413,3,1.5790884368162204,1,3.0,0,3.0,2.0,1,2,0,2,-1.361952607217736,0,1,0,0,0,1,0,0,1,3.0
0,0.09302325581395354,1,-0.9155395188944471,1,3.0,0,3.0,1.0,0,5,1,2,-1.19332412316376,0,1,0,1,0,0,1,0,0,5.0
0,0.7209302325581396,1,1.3296256412451537,0,3.0,2,5.0,2.0,0,2,1,0,-0.3891571543969223,0,1,0,0,0,1,1,0,0,5.0
0,0.5813953488372093,1,-0.2918825299667802,0,2.0,0,3.0,5.0,0,3,0,2,-0.752662895966106,1,0,0,0,0,1,0,0,1,5.0
0,0.744186046511628,3,0.3317744589608867,0,3.0,1,3.0,5.0,0,5,0,1,0.13601716917212284,1,0,0,0,0,1,0,0,1,3.0
1,0.3023255813953488,3,-0.2918825299667802,0,5.0,2,3.0,4.0,1,3,1,0,-0.7884566779586953,0,1,0,0,1,0,1,0,0,3.0
0,0.5348837209302326,3,-0.04241973439571344,1,3.0,1,3.0,4.0,1,2,0,1,-0.06661540777481278,0,1,0,0,1,0,0,1,0,4.0
0,0.18604651162790697,2,1.9532826301728206,0,3.0,0,3.0,2.0,0,4,1,2,-1.1100041528587885,0,1,0,0,1,0,1,0,0,3.0
0,0.41860465116279066,1,-0.41661392775231354,1,0.0,2,4.0,7.0,0,4,1,0,-0.7124943183966448,0,1,0,0,0,1,0,1,0,3.0
1,0.7674418604651162,1,-0.16715113218124683,1,5.0,1,3.0,3.0,0,2,0,1,0.4227651338016431,1,0,0,0,1,0,0,0,1,3.0
0,0.4883720930232558,3,-0.6660767233233803,0,4.0,2,3.0,5.0,0,5,1,0,-0.521395293425099,0,1,0,0,1,0,1,0,0,2.0
0,0.16279069767441867,3,2.3274768235294205,1,4.0,2,3.0,3.0,0,4,0,0,0.02286904720666026,0,1,0,0,1,0,1,0,0,2.0
0,0.2790697674418605,2,-0.04241973439571344,1,3.0,2,3.0,1.0,1,3,1,0,-0.4329051101656424,0,1,0,0,1,0,1,0,0,3.0
1,0.45633174702942136,1,-0.04241973439571344,0,3.0,0,5.0,1.0,0,4,1,2,-0.234050765762369,0,1,0,0,0,1,0,0,1,3.0
0,0.45633174702942136,1,2.452208221314954,1,3.0,0,3.0,6.0,0,2,1,2,-1.0085884372131189,0,1,0,0,0,1,0,0,1,2.0
0,0.2790697674418605,1,1.0801628456740868,0,3.0,0,3.0,2.0,0,2,1,2,-1.171648999623803,0,1,0,0,1,0,0,0,1,3.0
0,0.32558139534883723,3,-0.2918825299667802,1,5.0,2,3.0,1.0,0,2,0,0,-0.7667815544187385,1,0,0,0,0,1,0,1,0,3.0
0,0.2790697674418605,1,-0.541345325537847,0,3.0,0,5.0,6.0,0,5,1,2,-1.0579043146251308,0,1,0,1,0,0,0,1,0,3.0
0,0.2790697674418605,1,-0.9155395188944471,1,4.0,0,3.0,1.0,0,4,0,2,-1.1541498173163152,0,1,0,0,0,1,0,0,1,2.0
0,0.5348837209302326,1,0.08231166338981993,1,4.0,3,5.0,5.0,0,2,1,3,1.7214828570994218,1,0,0,0,1,0,0,1,0,3.0
0,0.5348837209302326,1,-0.04241973439571344,1,3.0,0,5.0,3.0,0,2,0,2,-1.2499976113186928,0,1,0,0,1,0,1,0,0,5.0
0,0.023255813953488413,1,-0.7908081211089137,0,3.0,0,4.0,2.0,0,3,1,2,-1.4001326413431643,0,1,0,0,0,1,0,0,1,5.0
0,0.5116279069767442,1,2.078014027958354,0,3.0,2,4.0,2.0,0,2,1,0,-0.5804550337128713,1,0,0,0,0,1,0,1,0,2.0
0,0.39534883720930236,3,-1.1650023144655137,1,3.0,1,4.0,2.0,0,4,1,1,-0.24439119167133921,0,1,0,0,0,1,1,0,0,5.0
0,0.813953488372093,3,-0.41661392775231354,1,3.0,2,3.0,3.0,1,5,0,0,-1.2364755158992704,0,1,0,0,0,1,1,0,0,2.0
0,0.6279069767441862,1,-0.04241973439571344,1,3.0,2,4.0,1.0,0,4,1,0,-1.2281236334343328,0,1,0,0,1,0,0,1,0,2.0
0,0.32558139534883723,3,-0.16715113218124683,0,3.0,1,3.0,2.0,0,4,1,1,0.09425775684743541,1,0,0,0,0,1,0,0,1,3.0
0,0.2558139534883721,1,-0.2918825299667802,1,3.0,2,3.0,2.0,0,3,0,0,-0.234050765762369,1,0,0,1,0,0,1,0,0,3.0
0,0.7674418604651162,1,-0.2918825299667802,1,4.0,2,3.0,3.0,0,3,1,0,-0.4756587942123462,0,1,0,0,0,1,1,0,0,3.0
0,0.9302325581395349,1,-0.04241973439571344,0,4.0,0,4.0,5.0,1,2,1,2,-1.029666997719866,0,1,0,0,0,1,1,0,0,3.0
0,0.5116279069767442,3,-0.6660767233233803,1,4.0,1,3.0,1.0,0,2,1,1,0.46353027440431416,0,1,0,0,0,1,1,0,0,3.0
0,0.37209302325581395,3,-0.9155395188944471,0,3.0,0,3.0,7.0,0,5,1,2,-1.251389591729516,1,0,0,0,0,1,1,0,0,5.0
0,0.09302325581395354,1,1.2048942434596204,1,3.0,0,3.0,2.0,0,2,0,2,-1.2330949920444148,0,1,0,0,0,1,1,0,0,4.0
0,0.2093023255813954,1,-0.04241973439571344,1,3.0,0,4.0,7.0,0,3,0,2,-1.2925524410209934,1,0,0,0,0,1,0,1,0,2.0
0,0.2325581395348838,1,1.454357039030687,1,3.0,0,3.0,2.0,0,2,0,2,-1.155541797727138,0,1,0,0,0,1,1,0,0,2.0
0,0.9069767441860465,1,1.8285512323872872,1,2.0,1,3.0,4.0,1,4,1,1,0.181952522729279,0,1,0,0,1,0,0,1,0,3.0
0,0.2093023255813954,1,-0.7908081211089137,1,4.0,0,3.0,2.0,1,2,0,2,-1.1847733863544192,1,0,0,0,0,1,0,1,0,5.0
0,0.744186046511628,1,0.20704306117535332,0,3.0,4,4.0,4.0,0,5,1,4,2.2673380324864074,0,1,0,0,1,0,0,0,1,2.0
0,0.5348837209302326,1,0.5812372545319534,1,3.0,0,3.0,5.0,0,4,1,2,-1.2076416359607955,0,1,0,0,1,0,0,1,0,3.0
0,0.2790697674418605,3,-0.541345325537847,0,3.0,1,3.0,3.0,0,4,1,1,0.17797543584121353,0,1,0,0,1,0,1,0,0,3.0
0,0.4651162790697675,3,-1.1650023144655137,0,4.0,2,3.0,5.0,0,2,1,0,0.03221520139361411,0,1,0,0,1,0,0,0,1,3.0
0,0.32558139534883723,1,-0.41661392775231354,1,3.0,0,3.0,4.0,0,2,0,2,-1.090914135796074,0,1,0,0,1,0,0,0,1,3.0
0,0.2093023255813954,1,0.9554314478885536,1,3.0,0,4.0,1.0,1,4,1,2,-1.0869370489080088,0,1,0,1,0,0,1,0,0,2.0
1,0.023255813953488413,3,-1.1650023144655137,0,5.0,0,5.0,1.0,0,3,1,2,-1.232697283355608,1,0,0,1,0,0,0,0,1,4.0
0,0.41860465116279066,1,-0.7908081211089137,1,3.0,0,4.0,5.0,0,4,1,2,-1.2798257629791838,1,0,0,0,0,1,0,0,1,1.0
0,0.2790697674418605,1,-0.04241973439571344,1,3.0,2,5.0,2.0,0,2,0,0,-1.0841530880863628,1,0,0,0,0,1,0,1,0,4.0
0,0.6279069767441862,3,-0.6660767233233803,0,0.0,2,5.0,5.0,1,4,0,0,-0.699568786010432,0,1,0,0,1,0,0,1,0,1.0
0,0.8837209302325583,1,-0.2918825299667802,0,3.0,0,5.0,5.0,1,4,1,2,-0.234050765762369,0,1,0,0,1,0,0,1,0,4.0
